Point 192 --> || t = 509.3000000000 || max_dvdt = 12.3507626890 ||
Point 193 --> || t = 509.3000000000 || max_dvdt = 12.5707788347 ||
Point 194 --> || t = 509.3000000000 || max_dvdt = 12.7569279406 ||
Point 195 --> || t = 509.3000000000 || max_dvdt = 12.9087515181 ||
Point 196 --> || t = 509.3000000000 || max_dvdt = 13.0266552742 ||
Point 197 --> || t = 509.3000000000 || max_dvdt = 13.1118098403 ||
Point 198 --> || t = 509.3000000000 || max_dvdt = 13.1660252601 ||
Point 199 --> || t = 509.3000000000 || max_dvdt = 13.1916120443 ||
Point 200 --> || t = 509.3000000000 || max_dvdt = 13.1912404754 ||
Point 201 --> || t = 509.3000000000 || max_dvdt = 13.1678076577 ||
Point 202 --> || t = 509.4000000000 || max_dvdt = 13.2507577684 ||
Point 203 --> || t = 509.4000000000 || max_dvdt = 13.4981448202 ||
Point 204 --> || t = 509.4000000000 || max_dvdt = 13.7121240607 ||
Point 205 --> || t = 509.4000000000 || max_dvdt = 13.8939218126 ||
Point 206 --> || t = 509.4000000000 || max_dvdt = 14.0453387616 ||
Point 207 --> || t = 509.4000000000 || max_dvdt = 14.1686158256 ||
Point 208 --> || t = 509.4000000000 || max_dvdt = 14.2663034576 ||
Point 209 --> || t = 509.4000000000 || max_dvdt = 14.3411412945 ||
Point 210 --> || t = 509.4000000000 || max_dvdt = 14.3959526588 ||
Point 211 --> || t = 509.4000000000 || max_dvdt = 14.4335562098 ||
Point 212 --> || t = 509.4000000000 || max_dvdt = 14.4566952190 ||
Point 213 --> || t = 509.4000000000 || max_dvdt = 14.4679835943 ||
Point 214 --> || t = 509.4000000000 || max_dvdt = 14.4698668932 ||
Point 215 --> || t = 509.4000000000 || max_dvdt = 14.4645960886 ||
Point 216 --> || t = 509.4000000000 || max_dvdt = 14.4542116893 ||
Point 217 --> || t = 509.4000000000 || max_dvdt = 14.4405358845 ||
Point 218 --> || t = 509.4000000000 || max_dvdt = 14.4251705860 ||
Point 219 --> || t = 509.4000000000 || max_dvdt = 14.4094995227 ||
Point 220 --> || t = 509.4000000000 || max_dvdt = 14.3946928446 ||
Point 221 --> || t = 509.4000000000 || max_dvdt = 14.3817129924 ||
Point 222 --> || t = 509.5000000000 || max_dvdt = 14.4054623443 ||
Point 223 --> || t = 509.5000000000 || max_dvdt = 14.4412841534 ||
Point 224 --> || t = 509.5000000000 || max_dvdt = 14.4590838601 ||
Point 225 --> || t = 509.1000000000 || max_dvdt = 7.4043296232 ||
Point 226 --> || t = 509.1000000000 || max_dvdt = 7.4348775884 ||
Point 227 --> || t = 509.1000000000 || max_dvdt = 7.4714956185 ||
Point 228 --> || t = 509.1000000000 || max_dvdt = 7.5143707133 ||
Point 229 --> || t = 509.1000000000 || max_dvdt = 7.5637381294 ||
Point 230 --> || t = 509.1000000000 || max_dvdt = 7.6198739171 ||
Point 231 --> || t = 509.1000000000 || max_dvdt = 7.6830835983 ||
Point 232 --> || t = 509.1000000000 || max_dvdt = 7.7536867634 ||
Point 233 --> || t = 509.1000000000 || max_dvdt = 7.8319974993 ||
Point 234 --> || t = 509.1000000000 || max_dvdt = 7.9183007280 ||
Point 235 --> || t = 509.1000000000 || max_dvdt = 8.0128247303 ||
Point 236 --> || t = 509.1000000000 || max_dvdt = 8.1157103731 ||
Point 237 --> || t = 509.1000000000 || max_dvdt = 8.2269778426 ||
Point 238 --> || t = 509.1000000000 || max_dvdt = 8.3464920347 ||
Point 239 --> || t = 509.1000000000 || max_dvdt = 8.4739281372 ||
Point 240 --> || t = 509.1000000000 || max_dvdt = 8.6087393537 ||
Point 241 --> || t = 509.1000000000 || max_dvdt = 8.7501291119 ||
Point 242 --> || t = 509.1000000000 || max_dvdt = 8.8970304085 ||
Point 243 --> || t = 509.1000000000 || max_dvdt = 9.0480950946 ||
Point 244 --> || t = 509.1000000000 || max_dvdt = 9.2016958057 ||
Point 245 --> || t = 509.1000000000 || max_dvdt = 9.3559428203 ||
Point 246 --> || t = 509.1000000000 || max_dvdt = 9.5087173397 ||
Point 247 --> || t = 509.1000000000 || max_dvdt = 9.6577215271 ||
Point 248 --> || t = 509.1000000000 || max_dvdt = 9.8005441904 ||
Point 249 --> || t = 509.1000000000 || max_dvdt = 9.9347393925 ||
Point 250 --> || t = 509.1000000000 || max_dvdt = 10.0579137185 ||
Point 251 --> || t = 509.1000000000 || max_dvdt = 10.1678166670 ||
Point 252 --> || t = 509.1000000000 || max_dvdt = 10.2624278767 ||
Point 253 --> || t = 509.2000000000 || max_dvdt = 10.3540994753 ||
Point 254 --> || t = 509.2000000000 || max_dvdt = 10.5943760111 ||
Point 255 --> || t = 509.2000000000 || max_dvdt = 10.8236187921 ||
Point 256 --> || t = 509.2000000000 || max_dvdt = 11.0380265435 ||
Point 257 --> || t = 509.2000000000 || max_dvdt = 11.2340756048 ||
Point 258 --> || t = 509.2000000000 || max_dvdt = 11.4086639515 ||
Point 259 --> || t = 509.2000000000 || max_dvdt = 11.5592330601 ||
Point 260 --> || t = 509.2000000000 || max_dvdt = 11.6838582398 ||
Point 261 --> || t = 509.2000000000 || max_dvdt = 11.7813013116 ||
Point 262 --> || t = 509.2000000000 || max_dvdt = 11.8510234629 ||
Point 263 --> || t = 509.2000000000 || max_dvdt = 11.8931601195 ||
Point 264 --> || t = 509.2000000000 || max_dvdt = 11.9084631358 ||
Point 265 --> || t = 509.3000000000 || max_dvdt = 12.0982628181 ||
Point 266 --> || t = 509.3000000000 || max_dvdt = 12.3507626890 ||
Point 267 --> || t = 509.3000000000 || max_dvdt = 12.5707788347 ||
Point 268 --> || t = 509.3000000000 || max_dvdt = 12.7569279406 ||
Point 269 --> || t = 509.3000000000 || max_dvdt = 12.9087515181 ||
Point 270 --> || t = 509.3000000000 || max_dvdt = 13.0266552742 ||
Point 271 --> || t = 509.3000000000 || max_dvdt = 13.1118098403 ||
Point 272 --> || t = 509.3000000000 || max_dvdt = 13.1660252601 ||
Point 273 --> || t = 509.3000000000 || max_dvdt = 13.1916120443 ||
Point 274 --> || t = 509.3000000000 || max_dvdt = 13.1912404754 ||
Point 275 --> || t = 509.3000000000 || max_dvdt = 13.1678076577 ||
Point 276 --> || t = 509.4000000000 || max_dvdt = 13.2507577684 ||
Point 277 --> || t = 509.4000000000 || max_dvdt = 13.4981448202 ||
Point 278 --> || t = 509.4000000000 || max_dvdt = 13.7121240607 ||
Point 279 --> || t = 509.4000000000 || max_dvdt = 13.8939218126 ||
Point 280 --> || t = 509.4000000000 || max_dvdt = 14.0453387616 ||
Point 281 --> || t = 509.4000000000 || max_dvdt = 14.1686158256 ||
Point 282 --> || t = 509.4000000000 || max_dvdt = 14.2663034576 ||
Point 283 --> || t = 509.4000000000 || max_dvdt = 14.3411412945 ||
Point 284 --> || t = 509.4000000000 || max_dvdt = 14.3959526588 ||
Point 285 --> || t = 509.4000000000 || max_dvdt = 14.4335562098 ||
Point 286 --> || t = 509.4000000000 || max_dvdt = 14.4566952190 ||
Point 287 --> || t = 509.4000000000 || max_dvdt = 14.4679835943 ||
Point 288 --> || t = 509.4000000000 || max_dvdt = 14.4698668932 ||
Point 289 --> || t = 509.4000000000 || max_dvdt = 14.4645960886 ||
Point 290 --> || t = 509.4000000000 || max_dvdt = 14.4542116893 ||
Point 291 --> || t = 509.4000000000 || max_dvdt = 14.4405358845 ||
Point 292 --> || t = 509.4000000000 || max_dvdt = 14.4251705860 ||
Point 293 --> || t = 509.4000000000 || max_dvdt = 14.4094995227 ||
Point 294 --> || t = 509.4000000000 || max_dvdt = 14.3946928446 ||
Point 295 --> || t = 509.4000000000 || max_dvdt = 14.3817129924 ||
Point 296 --> || t = 509.5000000000 || max_dvdt = 14.4054623443 ||
Point 297 --> || t = 509.5000000000 || max_dvdt = 14.4412841534 ||
Point 298 --> || t = 509.5000000000 || max_dvdt = 14.4590838601 ||
Point 299 --> || t = 509.1000000000 || max_dvdt = 7.4043296232 ||
Point 300 --> || t = 509.1000000000 || max_dvdt = 7.4348775884 ||
